id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1578061444460986368,1578061444460986368,2022-10-06 19:35:41 FLE Daylight Time,2022-10-06,19:35:41,+0300,232377398,tericarson,Teri Carson 🏴‍☠️ ☠️ 🇮🇪 💀 🇨🇮 ☠️ 🏴‍☠️,,@dshensmith #IAmJohnnyDepp #JusticeForJohnnyDepp ⚖️ #ReOpenUKAppeal,und,[],[],[],0,0,0,"['iamjohnnydepp', 'justiceforjohnnydepp', 'reopenukappeal']",[],https://twitter.com/TeriCarson/status/1578061444460986368,False,https://twitter.com/FemCondition/status/1578015790481014784,0,,,,,,,,[],,,,
1578059616004472834,1578059616004472834,2022-10-06 19:28:26 FLE Daylight Time,2022-10-06,19:28:26,+0300,1421582274403913730,amalaagg,Amal🌼,,#AmberHeard #USA #JusticeForJohnnyDepp #JusticeForAmberHeard #America #Florida #tampa @10TampaBay #cameronherrincase,qme,"[{'screen_name': '10tampabay', 'name': '10 tampa bay', 'id': '16743886'}]",[],[],0,0,0,"['amberheard', 'usa', 'justiceforjohnnydepp', 'justiceforamberheard', 'america', 'florida', 'tampa', 'cameronherrincase']",[],https://twitter.com/Amalaagg/status/1578059616004472834,False,https://twitter.com/bloopeace2505/status/1578056390694031361,0,,,,,,,,[],,,,
1578051700702810114,1578051700702810114,2022-10-06 18:56:58 FLE Daylight Time,2022-10-06,18:56:58,+0300,1543898030507794432,gehanessam8,🇪🇬🏴‍☠️🏴‍☠️The legend Johnny Depp,,#JohnnyDepp #JusticeForJohnnyDepp #JohnnyDeppIsARockStar  https://t.co/wiRfDnF9az,qme,[],[],[],1,0,5,"['johnnydepp', 'justiceforjohnnydepp', 'johnnydeppisarockstar']",[],https://twitter.com/GehanEssam8/status/1578051700702810114,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1578051498210115588/pu/img/zaZIimtW9QUtnsPS.jpg,,,,,,,[],,,,
1578046404118839296,1578046404118839296,2022-10-06 18:35:56 FLE Daylight Time,2022-10-06,18:35:56,+0300,1543898030507794432,gehanessam8,🇪🇬🏴‍☠️🏴‍☠️The legend Johnny Depp,,#JohnnyDepp #JusticeForJohnnyDepp  https://t.co/9lDNhQTZjh,qme,[],[],[],0,0,4,"['johnnydepp', 'justiceforjohnnydepp']",[],https://twitter.com/GehanEssam8/status/1578046404118839296,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1578045965558321152/pu/img/jLPXglO-AHBkc250.jpg,,,,,,,[],,,,
1578044818353176577,1578044818353176577,2022-10-06 18:29:38 FLE Daylight Time,2022-10-06,18:29:38,+0300,1543898030507794432,gehanessam8,🇪🇬🏴‍☠️🏴‍☠️The legend Johnny Depp,,👏🏻👏🏻👏🏻👏🏻♥♥♥ #JohnnyDepp #JusticeForJohnnyDepp  https://t.co/80jOCVSJCT,und,[],[],[],0,0,4,"['johnnydepp', 'justiceforjohnnydepp']",[],https://twitter.com/GehanEssam8/status/1578044818353176577,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1578044596256641024/pu/img/1BOMK-LqEDAyfkU4.jpg,,,,,,,[],,,,
1578044435987832832,1578044435987832832,2022-10-06 18:28:06 FLE Daylight Time,2022-10-06,18:28:06,+0300,1543898030507794432,gehanessam8,🇪🇬🏴‍☠️🏴‍☠️The legend Johnny Depp,,#JohnnyDepp #JusticeForJohnnyDepp #JohnnyDepp #JusticeForJohnnyDepp  https://t.co/oIopeLfUai,qme,[],[],[],1,0,7,"['johnnydepp', 'justiceforjohnnydepp', 'johnnydepp', 'justiceforjohnnydepp']",[],https://twitter.com/GehanEssam8/status/1578044435987832832,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1578043988653002752/pu/img/WhmhYOZfggsNFHAi.jpg,,,,,,,[],,,,
1578043808838729728,1577725679633928199,2022-10-06 18:25:37 FLE Daylight Time,2022-10-06,18:25:37,+0300,902538000755806208,schmojosey,Joey Schmo,,@mulIetmonarch Don't forget Metoo who initially supported Amber Heard dropped their support after the audio's released exposing her lies and the fact that she was the abuser.  #AmberHeardlsAnAbuser  #AmberHeardIsALiar  #AbuseHasNoGender  #JohnnyDeppDeservesAnApology  #JusticeForJohnnyDepp  https://t.co/JxprWFcqsp,en,[],[],['https://pbs.twimg.com/media/FeZWctoX0AATIXP.png'],0,0,1,"['amberheardlsanabuser', 'amberheardisaliar', 'abusehasnogender', 'johnnydeppdeservesanapology', 'justiceforjohnnydepp']",[],https://twitter.com/SchmoJosey/status/1578043808838729728,False,,1,https://pbs.twimg.com/media/FeZWctoX0AATIXP.png,,,,,,,"[{'screen_name': 'mulIetmonarch', 'name': 'sej', 'id': '1281595410'}]",,,,
1578039351686189056,1578037975639887872,2022-10-06 18:07:54 FLE Daylight Time,2022-10-06,18:07:54,+0300,3666442222,exoyoann,🏳️‍🌈Yoann Exo-Cat,,Women aren't the only victims of DV. Amber Heard showed exactly how an abuser would try and avoid consequences.  She's not a Victim. Don't include her. She abused Depp &amp; #JusticeForJohnnyDepp was delivered at last.   Believe Victims. Not Sex/gender. Deliver justice. Not lies.,en,[],[],[],0,0,3,['justiceforjohnnydepp'],[],https://twitter.com/ExoYoann/status/1578039351686189056,False,,0,,,,,,,,[],,,,
1578036327324344321,1578036327324344321,2022-10-06 17:55:53 FLE Daylight Time,2022-10-06,17:55:53,+0300,1564073126765498368,superstonerbabe,Bri K.,,#JusticeForJohnnyDepp I already got my justice cuz my brothers beat my abuser to a pulp and hospitalized em,en,[],[],[],0,0,0,['justiceforjohnnydepp'],[],https://twitter.com/superstonerbabe/status/1578036327324344321,False,https://twitter.com/amcampbell84/status/1577814768253026304,0,,,,,,,,[],,,,
1578030001269927937,1577960794242826241,2022-10-06 17:30:45 FLE Daylight Time,2022-10-06,17:30:45,+0300,1455844193394364416,jcastilie,Johanna van Castilië,,@Flopmop82 Amber was in dit geval diegene die mishandelde. Niet de man. Ik als vrouw die mishandeling heeft meegemaakt herken de signalen bij een persoon die wordt mishandeld. En johnny werd mishandeld. #AmberHeardIsALiar #JusticeForJohnnyDepp  amber is een narsist waarschijnlijk. 😭,nl,[],[],[],0,0,0,"['amberheardisaliar', 'justiceforjohnnydepp']",[],https://twitter.com/JCastilie/status/1578030001269927937,False,,0,,,,,,,,"[{'screen_name': 'Flopmop82', 'name': 'Flopmop🇳🇱🌈🎀 #IstandwithAmberHeard', 'id': '915687446775549953'}]",,,,
